City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
247,palu,-0.8917,119.8707,31.91,61,77,2.47,ID,2024-2-7
248,santa cruz,-17.8,-63.1667,23.7,94,40,1.54,BO,2024-2-7
249,arraial do cabo,-22.9661,-42.0278,24.91,88,100,1.64,BR,2024-2-7
250,kerikeri,-35.2268,173.9474,24.95,69,11,0.45,NZ,2024-2-7
251,papao,-17.75,-149.55,28.82,88,100,11.95,PF,2024-2-7
252,sao lourenco do sul,-31.3653,-51.9783,20.36,89,31,2.81,BR,2024-2-7
253,totskoye,52.5248,52.7623,-8.39,93,100,11.71,RU,2024-2-7
254,weno,7.4515,151.8468,29.97,66,20,5.14,FM,2024-2-7
255,tashla,51.7716,52.7427,-9.43,92,100,11.9,RU,2024-2-7
256,salor,41.3722,69.3817,8.4,57,100,3.09,UZ,2024-2-7
257,newman,37.3138,-121.0208,10.19,90,97,1.34,US,2024-2-7
258,tazovsky,67.4667,78.7,-19.59,100,97,3.12,RU,2024-2-7
259,thunder bay,48.4001,-89.3168,-1.01,100,0,2.06,CA,2024-2-7
260,cuatro cienegas de carranza,26.9833,-102.0833,13.71,43,47,2.18,MX,2024-2-7
261,narimanov,46.6927,47.8498,1.63,70,76,7.36,RU,2024-2-7
262,talas,38.6908,35.5538,-4.63,93,0,1.03,TR,2024-2-7
263,seydi,39.4816,62.9137,7.92,54,100,4.21,TM,2024-2-7
264,aykhal,66.0,111.5,-26.77,100,99,1.92,RU,2024-2-7
265,naze,28.3667,129.4833,15.51,79,100,5.2,JP,2024-2-7
266,rio grande,-32.035,-52.0986,20.88,86,19,4.33,BR,2024-2-7
267,woodland park,40.8898,-74.1949,2.2,66,0,2.57,US,2024-2-7
268,talara,-4.5772,-81.2719,25.33,81,95,5.75,PE,2024-2-7
269,pariaman,-0.619,100.12,31.03,66,99,2.14,ID,2024-2-7
270,ust-nera,64.5667,143.2,-29.46,96,77,0.6,RU,2024-2-7
271,mount pearl,47.5166,-52.7813,-0.58,92,100,9.77,CA,2024-2-7
272,minas de marcona,-15.2119,-75.1103,19.5,91,95,4.42,PE,2024-2-7
273,san pedro pochutla,15.7333,-96.4667,20.97,85,16,1.41,MX,2024-2-7
274,leava,-14.3,-178.1667,28.22,77,51,3.57,WF,2024-2-7
275,joshimath,30.5667,79.5667,8.63,21,8,1.67,IN,2024-2-7
276,amarante do maranhao,-5.5667,-46.7422,22.1,94,47,1.37,BR,2024-2-7
277,hirara,24.8,125.2833,22.92,73,75,6.69,JP,2024-2-7
278,gillette,44.2911,-105.5022,7.51,60,40,5.66,US,2024-2-7
279,conde,-7.2597,-34.9075,26.7,83,20,3.09,BR,2024-2-7
280,mount darwin,-16.7725,31.5838,21.49,84,8,0.9,ZW,2024-2-7
281,dryden,49.7833,-92.7503,0.16,100,100,1.03,CA,2024-2-7
282,san andres,12.5847,-81.7006,27.01,65,20,7.72,CO,2024-2-7
283,strezhevoy,60.7333,77.5889,-3.91,95,98,4.02,RU,2024-2-7
284,palmer,42.1584,-72.3287,-0.77,77,0,1.54,US,2024-2-7
285,pisco,-13.7,-76.2167,24.03,83,0,5.14,PE,2024-2-7
286,mili,6.0815,171.735,27.92,73,91,8.26,MH,2024-2-7
287,al hudaydah,14.7978,42.9545,25.58,76,79,3.56,YE,2024-2-7
288,romano di lombardia,45.5246,9.7484,11.32,87,75,1.03,IT,2024-2-7
289,hobyo,5.3505,48.5268,26.91,76,86,7.89,SO,2024-2-7
290,port-vila,-17.7338,168.3219,28.78,84,75,3.09,VU,2024-2-7
291,ulsteinvik,62.3432,5.8487,-2.6,76,99,2.68,NO,2024-2-7
292,damoh,23.8333,79.45,20.72,35,47,2.55,IN,2024-2-7
293,eraan,9.0629,117.7016,30.5,62,6,3.63,PH,2024-2-7
294,zaragoza,41.6561,-0.8773,11.93,71,4,1.79,ES,2024-2-7
295,qarqaraly,49.4058,75.4742,-2.81,63,98,6.48,KZ,2024-2-7
296,al khums,32.6486,14.2619,16.03,46,93,3.27,LY,2024-2-7
297,codrington,-38.2667,141.9667,19.41,54,31,6.39,AU,2024-2-7
298,fisterra,42.9049,-9.2629,14.86,91,100,9.89,ES,2024-2-7
299,romanovka,51.7443,42.7527,-14.11,99,78,2.59,RU,2024-2-7
300,palma sola,-23.9634,-64.2987,22.66,82,90,1.96,AR,2024-2-7
301,richards bay,-28.783,32.0377,23.17,79,30,4.92,ZA,2024-2-7
302,cabo san lucas,22.8909,-109.9124,22.61,77,69,4.16,MX,2024-2-7
